shortName,fullName,city,companySize,positionName,education,workYear,jobNature,salary,formatCreateTime,address,description
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,高级工程师-Python,本科,5-10年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
小米,北京小米科技有限责任公司,北京,2000人以上,后台开发-Python,本科,3-5年,全职,25k-35k,2018-02-09,," 快速成长 免费班车 扁平管理 技能培训"
大鱼自助游,北京鱼行天下网络科技有限公司,北京,50-150人,Python工程师,本科,1-3年,全职,15k-30k,2018-02-02,10号线_亮马桥;14号线东段_东风北桥;14号线东段_枣营," 五险一金 专项奖金 半年调薪 团建旅游"
学堂在线,北京慕华信息科技有限公司,北京,150-500人,系统开发工程师（Python）,本科,5-10年,全职,20k-30k,2018-02-12,4号线大兴线_北京大学东门;13号线_五道口;15号线_清华东路西口," 节日礼物 股票期权 带薪年假 氛围轻松"
真格基金,北京真格天成投资管理有限公司,北京,50-150人,python工程师-真格基金投资企业-互影科技,本科,1-3年,全职,15k-25k,2018-02-07,14号线东段_望京南;14号线东段_将台,
马上金融,马上消费金融股份有限公司,北京,2000人以上,Python开发工程师,大专,3-5年,全职,20k-30k,2018-02-05,1号线_国贸;1号线_大望路;6号线_金台路;10号线_金台夕照;10号线_国贸;14号线东段_金台路;14号线东段_大望路," 股票期权 年终分红 绩效奖金 带薪年假"
博派通达,北京博派通达科技有限公司,北京,50-150人,Python资深工程师,大专,5-10年,全职,20K-40K,2018-02-05,5号线_和平西桥;5号线_惠新西街南口;5号线_惠新西街北口;10号线_安贞门;10号线_惠新西街南口;10号线_芍药居;13号线_芍药居;13号线_光熙门," 年底双薪 股票期权 专项奖金 带薪年假"
星尘数据,北京星尘纪元智能科技有限公司,北京,少于15人,高级Python工程师,本科,3-5年,全职,20k-35k,2018-01-31,10号线_亮马桥;10号线_农业展览馆;10号线_团结湖,
况客科技,况客科技(北京)有限公司,北京,15-50人,Python 工程师,本科,1-3年,全职,15k-30k,2018-01-25,2号线_东四十条;2号线_朝阳门;6号线_东大桥;6号线_朝阳门," 定期体检 午餐补助 带薪年假 绩效奖金"
宜信,普信恒业科技发展（北京）有限公司,北京,2000人以上,Python研发工程师,本科,5-10年,全职,25k-40k,2018-02-13,1号线_国贸;1号线_大望路;6号线_金台路;10号线_金台夕照;10号线_国贸;14号线东段_金台路;14号线东段_大望路," 管理规范 技能培训 扁平管理 弹性工作"
Yi+,北京陌上花科技有限公司,北京,15-50人,Python/Golang开发工程师,本科,1-3年,全职,20k-40k,2018-02-11,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;10号线_苏州街;10号线_海淀黄庄;10号线_知春里," 股票期权 岗位晋升 弹性工作 绩效奖金"
会分期,会找房（北京）网络技术有限公司,北京,150-500人,高级python开发工程师,本科,3-5年,全职,15k-30k,2018-02-11,13号线_西二旗;昌平线_西二旗," 节日礼物 股票期权 带薪年假 年度旅游"
游族网络,上海游族信息技术有限公司,北京,500-2000人,Python开发工程师-base北京,不限,3-5年,全职,12k-18k,2018-02-08,," 五险一金 岗位晋升 弹性工作 扁平管理"
黑牛保,无锡信成网络科技有限公司,北京,15-50人,python开发工程师,本科,3-5年,全职,13k-20k,2018-02-07,亦庄线_万源街;亦庄线_荣京东街;亦庄线_荣昌东街," 扁平管理 弹性工作 绩效奖金 通讯津贴"
格上添富,北京格上添富科技发展有限公司,北京,150-500人,高级Python研发工程师,本科,5-10年,全职,20k-35k,2018-01-29,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼;10号线_金台夕照," 绩效奖金 带薪年假 午餐补助 定期体检"
Veeva,维我软件（上海）有限公司北京分公司,北京,500-2000人,高级软件工程师 （Python）,本科,3-5年,全职,25k-35k,2018-02-09,10号线_三元桥;10号线_亮马桥;10号线_农业展览馆;14号线东段_枣营;机场线_三元桥," 行业领先 超长年假 年度旅游"
车势科技,北京车势科技有限公司,北京,15-50人,python开发工程师,本科,3-5年,全职,15k-25k,1天前发布,1号线_永安里;1号线_国贸;6号线_呼家楼;6号线_东大桥;10号线_呼家楼;10号线_金台夕照;10号线_国贸," 年底双薪 专项奖金 股票期权 绩效奖金"
好巧,北京好巧国际旅行社有限公司,北京,150-500人,Linux C++/Python高级研发工程师,本科,1-3年,全职,15k-20k,2018-02-13,5号线_和平西桥;5号线_惠新西街南口;8号线_安华桥;8号线_北土城;10号线_北土城;10号线_安贞门;10号线_惠新西街南口," 五险一金 弹性工作 扁平管理 百万医疗"
